#Firma                                            Art      Vorw.     0130+
#-------------------------------------------------------------------------------
1&1 serviceline GmbH Montabaur                                      +858900
1&1 Telekommunikation                                               +808009
1&1 Telekommunikation technische Hotline                            +801414
1&1 Telekommunikation, Marketing, BTX                               +808606
1x1 EDV Marketing GmbH                                              +3101
3M                                                                  +819854
3M Medica GmbH                                                      +3830
8024 Energie Service                                                +812172
A-R-A-G Insurance Co                                                +810738
A.A.A. AABA GmbH, Abflußdienst                                      +829898
A.A.A.-Gebr. Manfroid OHG                                     (022) +858888
A.S.S. GmbH Hannover, Autodiebstahlversicherungen                   +820760
A3 Computer GmbH                                                    +850201
Aabell Elektriker Notdienst Böblingen                               +3282
Aachener und Muenchener Leben (Versicherung)                        +853598
Aachener und Muenchener Versicherungen Karlsruhe                    +2598
ABACUS Tierperkhotel Berlin                                         +863981
ABC Tk - Hutchinson Mobilfunk Duesseldorf  neu:0180 2 32 52 72 (OT) +4648
ABF Security                                                        +811661
Abfluss-As                                                          +3737
abi Berufswahl-Magazin Leser - Telefon 24.03.94                     +854656
AC-Service GmbH, Das europäische Informatikunternehmen              +2113
Acces Computer München                                              +9010
Ace America Corp., 2641 Orchard Park Way, San Jose                  +811506
ACO Serverin Ahlmann GmbH & Co KG                                   +4474
Acon Detective Idel GmbH                                            +5889
ADAC 24h Pannenhilfe      (020,025,027-029,050-053,055-058,060-061) +819211
ADAC Autovermietung GmbH Resevierung Muenchen                       +818181
ADAC Mietwagenservice                                               +4444
ADAC Mitgliederbetreuung                                            +847474
ADAC Mobilitaetsgarantie Muenchen                                   +4071
ADAC Rechtschutz Muenchen                                           +848400
ADAC Reisebuero                                                     +830642
ADAC Versicherungs-AG Muenchen                                      +7676
ADI Abfluss-Service Schillo GmbH                          (020,021) +811120
Adiana Club Reisen                                                  +860101
Adobe                                                               +817473
Advanced Computing Environement                                     +811296
Advanced Micro Devices Intec Building                               +810891
Advanced Micro Devices VoiceMail System                             +810432
AEG Elektro(?)                                                      +2127
AEG Olympia office GmbH Bueroausstattung                            +867800
Aer Lingus Irish Airlines Reservierung und Verkauf                  +6812
Aero Lloyd Buchungszentrale                                         +6401
Aerztezeitung                               +83 03 05   +83 03 06   +830307
Agatech                                                             +834070
Agip Schmiertechnik                                                 +5919
AHD Abfluss Hilfsdienst Berlin                                      +840484
Ahrens Schornsteintechnik GmbH                                      +2908
Air Canada                                                          +2205
Air Dolomiti                            Fax? - geht keiner dran... +869900
Air Europe (NFD Luftverkehrs AG)                                    +6775
Air Malta Company Ltd. Reservierung                                 +2181
Air New Zealand                                                     +817778
Aircast Europa GmbH Rosenheim                                       +2433
Aircom (D1 Mobilfunk)                                               +843348
Airway Express                                                      +810816
Akademie fuer Weiterbildung Anrufbeantworter                        +841148
Alamo Autovermietung                                                +846424
Alarm-Glas Berlin                                                   +860990
Alcan Deutschland GmbH, Werk Ohle, Plettenberg                      +861165
Alcatel SEL Datenkommunikation                                      +860782
ALD Auto Leasing D Leasing-Partner f. d. gemischt. Fuhrpark +54 04  +2218
Aldrich Chemie                                                      +7272
Aldus Software GmbH Hamburg                                         +863985
Alexander Creation de Luxe GmbH Regensburg                          +4106
Alfa Romeo Hotline                                                  +6855
Alfa Romeo Kontakt-Programm                                         +5140
All Points Relocation Syc. Inc.                                     +810184
Allgemeine Kreditversicherung AG Mainz                              +7739
Allgemeine Privatkundenbank AG                                      +4243
Allgemeine Privatkundenbank Service Telefonkonto                    +820799
ALLGON                                                F             +861515
Allianz Informationsservice                                         +112233
Allianz Lebensversicherungs-AG Autoruf                              +2302
Allied Telesis (Ethernet Karten)                                    +835666
Allkauf Reisebuero                                                  +2456
Allkauf Zentralverwaltung                                           +6469
Allmedt Vertriebsgesellschft fuer allgemeine Medizintechnik mbH     +7880
Alno Moebelwerke GmbH & Co KG                                       +2133
Aloia Realty + Development Co                                       +810513
Alpenland GmbH Muenchen                               F             +842233
Alpenland GmbH Muenchen                               V             +842211
Ambra Marketing service Wolf & Peter GmbH                           +866486
American Airlanes Frachtreservierungen                              +3337
American Airlines Inc.                         +81 05 19   +41 13   +4114
American Buymac                                                     +810090
American Express                                  +21 44   +62 62   +853100
American Express (??)...Service                                     +816042
American Express Aktionstelefon Antraege                            +3750
American Express Beschwerdetelefon                                  +863386
American Express japanisch                                          +810279
American Express Membership-Miles                     F             +3747
American Express Membership-Miles                     V             +3749
American Express Service fuer Platinum-Karten Inhaber               +7711
American Investment Bank                                            +812194
American Management System, private Mailbox             +81 60 12   +816013
American Quality Foods                                              +9897
American Realty                                                     +811516
Amerika Flugreisedienst                                             +866503
ANA All Nippon Airways Reservations                                 +816280
Ana Aslan Regenerationskosmetik Dortmund                            +848480
Anacoms                                              VM             +810178
Anacy                                                               +812171
Analogic Cooperation                                                +810653
Anatol Tuerkei Tours                                                +5130
Andersen Consulting Frankfurt                                       +810205
Anwalt Suchservice                                                  +5500
Anwaltsauskunftssystem                                              +842284
AOI Kane Seiko (USA) Phoenix (Soft- & Hardware)                     +814512
Apetito                                     +44 46 49   +44 47 49   +444849
Apetito Karl Duesterberg KG Auftragsann. Verk. Sozialverpflegung    +4457
Apex Detektive                                                      +866555
Apex Micro Technology Corp.                                         +810715
Appel & Frenzel Duesseldorf Auftragsdienst                          +4159
Apple Direkt                                            +86 10 11   +7978
Apple Newton Hotline                                                +855844
Apple Performa Helpline                                             +826600
Apple UpdateService                                                 +845111
